identifier	dc Terms	Class	Term	中譯	Definition	定義	Comment	註解	Examples	範例	Link
identification:1		 Data Set	Identification		A taxonomic determination (e.g., the assignment to a taxon).				A subspecies determination of an organism. 		http://terms.tdwg.org/wiki/dwc:Identification
identification:2		Identification	identificationID		An identifier for the Identification (the body of information associated with the assignment of a scientific name). May be a global unique identifier or an identifier specific to the data set.						http://terms.tdwg.org/wiki/dwc:identificationID
identification:3		Identification	identificationQualifier		A brief phrase or a standard term ("cf.", "aff.") to express the determiner's doubts about the Identification.				1) For the determination "Quercus aff. agrifolia var. oxyadenia", identificationQualifier would be "aff. agrifolia var. oxyadenia" with accompanying values "Quercus" in genus,  "agrifolia" in specificEpithet,  "oxyadenia" in infraspecificEpithet, and "var." in rank. 2) For the determination "Quercus agrifolia cf. var. oxyadenia", identificationQualifier would be "cf. var. oxyadenia " with accompanying values "Quercus" in genus,  "agrifolia" in specificEpithet,  "oxyadenia" in infraspecificEpithet, and "var." in rank.		http://terms.tdwg.org/wiki/dwc:identificationQualifier
identification:4		Identification	typeStatus		A list (concatenated and separated) of nomenclatural types (type status, typified scientific name, publication) applied to the subject.		The recommended best practice is to separate the values with a vertical bar (' | ').		"holotype of Ctenomys sociabilis. Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388",  "holotype of Pinus abies | holotype of Picea abies".		http://terms.tdwg.org/wiki/dwc:typeStatus
identification:5		Identification	identifiedBy	鑑定者	A list (concatenated and separated) of names of people, groups, or organizations who assigned the Taxon to the subject.		The recommended best practice is to separate the values with a vertical bar (' | ').		"James L. Patton",  "Theodore Pappenfuss | Robert Macey".		http://terms.tdwg.org/wiki/dwc:identifiedBy
identification:6		Identification	dateIdentified	鑑定日期	The date on which the subject was identified as representing the Taxon. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).				"1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC,  "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC,  "1809-02-12" is 12 Feb 1809,  "1906-06" is Jun 1906,  "1971" is just that year,  "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC,  "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.		http://terms.tdwg.org/wiki/dwc:dateIdentified
identification:7		Identification	identificationReferences	鑑定參考文獻	A list (concatenated and separated) of references (publication, global unique identifier, URI) used in the Identification.		The recommended best practice is to separate the values with a vertical bar (' | ').		"Aves del Noroeste Patagonico. Christie et al. 2004.",  "Stebbins, R. Field Guide to Western Reptiles and Amphibians. 3rd Edition. 2003. | Irschick, D.J. and Shaffer, H.B. (1997). ''The polytypic species revisited: Morphological differentiation among tiger salamanders (Ambystoma tigrinum) (Amphibia: Caudata).'' Herpetologica, 53(1), 30-49.".		http://terms.tdwg.org/wiki/dwc:identificationReferences
identification:8		Identification	identificationVerificationStatus	鑑定狀態	A categorical indicator of the extent to which the taxonomic identification has been verified to be correct. Recommended best practice is to use a controlled vocabulary such as that used in HISPID/ABCD.				"0",  "4".		http://terms.tdwg.org/wiki/dwc:identificationVerificationStatus
identification:9		Identification	identificationRemarks		Comments or notes about the Identification.				"Distinguished between Anthus correndera and Anthus hellmayri based on the comparative lengths of the uñas.".		http://terms.tdwg.org/wiki/dwc:identificationRemarks
