identifier	dc Terms	Class	Term	中譯	Definition	定義	Comment	註解	Examples	範例	Link
resourcerelationship:1		 Data Set	ResourceRelationship		A relationship of one rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource) to another.		Resources can be thought of as identifiable records or instances of classes and may include, but need not be limited to Occurrences, Organisms, MaterialSamples, Events, Locations, GeologicalContexts, Identifications, or Taxa.		An instance of an Organism is the mother of another instance of an Organism. 		http://terms.tdwg.org/wiki/dwc:ResourceRelationship
resourcerelationship:2		ResourceRelationship	resourceRelationshipID		An identifier for an instance of relationship between one resource (the subject) and another (relatedResource, the object).						http://terms.tdwg.org/wiki/dwc:resourceRelationshipID
resourcerelationship:3		ResourceRelationship	resourceID		An identifier for the resource that is the subject of the relationship.						http://terms.tdwg.org/wiki/dwc:resourceID
resourcerelationship:4		ResourceRelationship	relatedResourceID		An identifier for a related resource (the object, rather than the subject of the relationship).						http://terms.tdwg.org/wiki/dwc:relatedResourceID
resourcerelationship:5		ResourceRelationship	relationshipOfResource		The relationship of the resource identified by relatedResourceID to the subject (optionally identified by the resourceID). Recommended best practice is to use a controlled vocabulary.				"duplicate of",  "mother of",  "endoparasite of",  "host to",  "sibling of",  "valid synonym of",  "located within".		http://terms.tdwg.org/wiki/dwc:relationshipOfResource
resourcerelationship:6		ResourceRelationship	relationshipAccordingTo		The source (person, organization, publication, reference) establishing the relationship between the two resources.				"Julie Woodruff".		http://terms.tdwg.org/wiki/dwc:relationshipAccordingTo
resourcerelationship:7		ResourceRelationship	relationshipEstablishedDate		The date-time on which the relationship between the two resources was established. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).				"1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC,  "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC,  "1809-02-12" is 12 Feb 1809,  "1906-06" is Jun 1906,  "1971" is just that year,  "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC,  "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.		http://terms.tdwg.org/wiki/dwc:relationshipEstablishedDate
resourcerelationship:8		ResourceRelationship	relationshipRemarks		Comments or notes about the relationship between the two resources.				"mother and offspring collected from the same nest",  "pollinator captured in the act".		http://terms.tdwg.org/wiki/dwc:relationshipRemarks
